City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
575,Amarante Do Maranhao,BR,86.85,overcast clouds,-5.5667,-46.7422,Hotéis Caçulinha
582,Haapiti,PF,78.53,clear sky,-17.5667,-149.8667,Linareva Moorea Beach Resort
584,Praya,CV,82.94,broken clouds,14.9215,-23.5087,LT Aparthotel
585,Ugoofaaru,MV,81.9,overcast clouds,5.6667,73.0,Ungoofaaru Inn
591,Itarema,BR,83.97,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
596,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
601,Sertania,BR,82.65,overcast clouds,-8.0736,-37.2644,Hotel Esperança
603,Mahibadhoo,MV,82.62,overcast clouds,3.7833,72.9667,Omadhoo Inn
606,Akyab,MM,79.48,scattered clouds,20.15,92.9,Hotel Memory
611,Jalu,LY,75.18,overcast clouds,29.0331,21.5482,صاحبة الفخامة
612,Mabaruma,GY,80.6,moderate rain,8.2,-59.7833,Monty Brooms Guest House
615,Candolim,IN,80.6,few clouds,15.5181,73.7626,Resort Terra Paraiso
617,Pangai,TO,75.31,light rain,-19.8,-174.35,Ha'apai Beach Resort
620,Wajir,KE,87.76,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
629,Coron,PH,79.21,clear sky,11.9986,120.2043,Coron Westown Resort
633,Nisia Floresta,BR,86.81,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
634,Samarai,PG,82.11,scattered clouds,-10.6167,150.6667,Nuli Sapi
635,Escuinapa,MX,86.4,clear sky,22.85,-105.8,""" Hotel IQ "" de Escuinapa"
